Year,Matches,Innings,N.O.,Runs,Highest Score,Average,Strike Rate,100,Fifties,Fours,Sixes,Catches Taken,Stumpings
2008,16,14,4,414,65,41.4,133.54,0,2,38,15,6,0
2009,14,13,5,332,58,41.5,127.2,0,2,22,9,4,4
2010,13,11,2,287,66,31.88,136.66,0,2,26,8,5,6
2011,16,13,4,392,70,43.55,158.7,0,2,25,23,5,5
2012,19,17,5,358,51,29.83,128.77,0,1,26,9,12,2
2013,18,16,5,461,67,41.9,162.89,0,4,32,25,15,2
2014,16,15,10,371,57,74.2,148.4,0,1,22,20,3,1
2015,17,17,5,372,53,31,121.96,0,1,27,17,8,3
2016,14,12,5,284,64,40.57,135.23,0,1,18,14,8,4
2017,16,15,4,290,61,26.36,116,0,1,15,16,10,3
2018,16,15,9,455,79,75.83,150.66,0,3,24,30,11,3
2019,15,12,7,416,84,83.2,134.62,0,3,22,23,11,5
2020,14,12,4,200,47,25,116.27,0,0,16,7,15,1
2021,16,11,4,114,18,16.28,106.54,0,0,12,3,13,0
2022,14,13,6,232,50,33.14,123.4,0,1,21,10,9,0
