Teams,Matches,Innings,N.O,100,50,H.S,Runs,Average,Strike Rate,% Team Runs,Catches Taken,Stumpings
Deccan Chargers,10,10,1,0,1,58,281,31.22,113.31,17.65,3,3
Delhi Capitals,30,28,8,0,3,63,647,32.35,136.5,13.64,16,7
Gujarat Lions,4,4,2,0,0,30,83,41.5,120.29,11.93,1,2
Gujarat Titans,2,1,0,0,0,7,7,7,70,2.32,1,0
Kochi Tuskers Kerala,2,2,1,0,0,14,23,23,121.05,8.13,0,0
Kolkata Knight Riders,30,25,12,0,2,66,551,42.38,132.45,11.75,16,9
Lucknow Super Giants,1,1,1,0,0,16,16,,266.67,7.62,1,0
Mumbai Indians,39,34,13,0,3,63,746,35.52,129.51,12.3,23,2
Pune Warriors,6,5,2,0,0,45,135,45,150,14.92,4,0
Punjab Kings,30,24,11,0,5,79,642,49.38,148.27,13.21,23,2
Rajasthan Royals,26,23,10,0,2,75,521,40.08,127.07,12.13,17,2
Royal Challengers Bangalore,33,31,10,0,4,84,838,39.9,140.84,16.51,16,7
Sunrisers Hyderabad,21,18,8,0,4,67,488,48.8,145.24,13.95,15,4
